tab 	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_ftest_quality	aniso_p	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_tilt_correction	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	method_codes	sample	software_packages	specimen
0.00	0.562128	0.519412	0.206820	b	1.134253	0.34327215:0.33967006:0.31705776:-0.011707602:-0.0042978404:0.009693999	6	0.025347	-1	ATRM	0.355990:141.1:-14.7	0.330156:53.7:9.8	0.313854:176.3:72.2	This study	Critical F: 3.1059	LP-AN-TRM	ak04d	pmagpy-4.3.8	ak04d
0.00	2.359995	0.720044	2.392443	b	1.156987	0.33587256:0.32992253:0.3342049:0.021398198:-0.01035719:0.00470981	6	0.014223	-1	ATRM	0.355083:223.6:10.1	0.338015:336.8:65.6	0.306903:309.5:-21.9	This study	Critical F: 3.1059	LP-AN-TRM	cb01a	pmagpy-4.3.8	cb01a
0.00	0.871887	0.530073	0.559862	b	1.083866	0.335093:0.33326563:0.3316414:-0.00015773116:0.0033561515:0.01287008	6	0.012849	-1	ATRM	0.346685:12.1:41.5	0.333456:104.3:2.5	0.319860:17.1:-48.4	This study	Critical F: 3.1059	LP-AN-TRM	cb01b	pmagpy-4.3.8	cb01b
0.00	1.662888	0.027203	2.814038	b	1.123741	0.32085982:0.34600824:0.33313194:-0.005155584:0.004049457:0.015698649	6	0.014674	-1	ATRM	0.347219:94.1:11.6	0.343796:167.9:-53.7	0.308985:192.1:33.9	This study	Critical F: 3.1059	LP-AN-TRM	cb01c	pmagpy-4.3.8	cb01c
0.00	2.566349	1.652854	1.555650	b	1.129577	0.34895116:0.33187526:0.31917354:-0.004211364:-0.0041967686:-0.012370581	6	0.011328	-1	ATRM	0.353724:352.8:-18.8	0.333128:268.9:17.6	0.313147:219.1:-63.8	This study	Critical F: 3.1059	LP-AN-TRM	cb02a	pmagpy-4.3.8	cb02a
0.00	5.067077	1.034423	5.979040	g	1.178024	0.342062:0.3153845:0.34255344:-0.0038095796:0.022399178:-0.0030271716	6	0.011005	-1	ATRM	0.356572:302.0:-55.8	0.340742:186.3:-16.4	0.302686:266.9:29.1	This study	Critical F: 3.1059	LP-AN-TRM	cb02c	pmagpy-4.3.8	cb02c
0.00	1.859804	1.450927	0.896011	b	1.152133	0.33455405:0.33383924:0.33160672:0.023483591:0.00089349516:0.002532109	6	0.015535	-1	ATRM	0.357908:44.4:5.3	0.331444:255.3:83.9	0.310648:314.7:-3.1	This study	Critical F: 3.1059	LP-AN-TRM	cb05a	pmagpy-4.3.8	cb05a
0.00	3.787245	0.454217	5.121696	g	1.203730	0.35616747:0.33849987:0.30533263:-0.0061645736:0.016065544:0.006797899	6	0.014595	-1	ATRM	0.358177:164.5:-2.5	0.344267:75.6:23.9	0.297556:249.0:66.0	This study	Critical F: 3.1059	LP-AN-TRM	cb05b	pmagpy-4.3.8	cb05b
0.00	5.405229	3.028801	3.740295	g	1.223075	0.3607273:0.33718523:0.30208743:0.011979048:-0.010021185:-0.0010890821	6	0.012851	-1	ATRM	0.366136:23.9:-4.5	0.334506:295.1:14.9	0.299357:97.5:74.4	This study	Critical F: 3.1059	LP-AN-TRM	cb06a	pmagpy-4.3.8	cb06a
0.00	1.969241	0.060989	3.190210	b	1.229287	0.3441882:0.30676556:0.34904626:0.026851613:0.008006923:-0.0030994366	6	0.023245	-1	ATRM	0.358317:28.4:6.7	0.350199:156.4:79.2	0.291484:117.4:-8.4	This study	Critical F: 3.1059	LP-AN-TRM	cb06b	pmagpy-4.3.8	cb06b
0.00	0.997795	0.022544	1.655134	b	1.168300	0.35117352:0.3412789:0.3075476:-0.0010453892:0.014870693:0.0056122616	6	0.024958	-1	ATRM	0.352002:188.2:-9.8	0.346703:101.6:18.9	0.301295:252.2:68.5	This study	Critical F: 3.1059	LP-AN-TRM	cb09a	pmagpy-4.3.8	cb09a
0.00	1.328103	0.501959	1.209143	b	1.200130	0.30680758:0.34450167:0.3486907:0.0051134517:-0.009596291:-0.016469313	6	0.023561	-1	ATRM	0.361285:61.8:-52.2	0.337677:99.4:31.6	0.301038:177.5:-18.6	This study	Critical F: 3.1059	LP-AN-TRM	cb09b	pmagpy-4.3.8	cb09b
0.00	0.375349	0.058494	0.478013	b	1.118468	0.32227975:0.33169502:0.34602517:-0.013807636:0.0009600554:-0.005758667	6	0.027996	-1	ATRM	0.348842:136.8:59.9	0.339266:300.7:29.1	0.311892:34.6:7.0	This study	Critical F: 3.1059	LP-AN-TRM	cb09w	pmagpy-4.3.8	cb09w
0.00	0.747728	0.178247	0.837396	b	1.169560	0.34572604:0.33948004:0.3147939:0.012919674:-0.013582641:0.00877709	6	0.027288	-1	ATRM	0.355967:219.9:2.7	0.339674:311.6:32.7	0.304359:305.6:-57.1	This study	Critical F: 3.1059	LP-AN-TRM	cb09x	pmagpy-4.3.8	cb09x
0.00	1.108159	0.198935	1.358912	b	1.274342	0.36569533:0.2923662:0.34193844:0.0092035:-0.01339184:-9.479098e-06	6	0.034658	-1	ATRM	0.366953:7.8:-4.2	0.345092:294.2:75.5	0.287955:96.7:13.8	This study	Critical F: 3.1059	LP-AN-TRM	cb11a	pmagpy-4.3.8	cb11a
0.00	0.496882	0.479834	0.167941	b	1.299993	0.29581892:0.35777107:0.34641004:0.012531646:-0.025710339:-0.008353124	6	0.056399	-1	ATRM	0.381062:77.3:-37.8	0.325812:86.4:51.8	0.293126:350.8:4.4	This study	Critical F: 3.1059	LP-AN-TRM	cb11b	pmagpy-4.3.8	cb11b
0.00	8.781367	3.238115	8.104083	g	1.201603	0.35302678:0.34317672:0.3037965:-0.009582106:-0.010276611:0.0076529607	6	0.009227	-1	ATRM	0.361371:326.2:11.8	0.337889:234.8:6.7	0.300741:116.0:76.4	This study	Critical F: 3.1059	LP-AN-TRM	cb12a	pmagpy-4.3.8	cb12a
0.00	3.265105	0.939410	3.396572	g	1.113994	0.31694835:0.33927602:0.3437756:0.00921722:-0.0054697893:-0.00291527	6	0.008989	-1	ATRM	0.349357:248.6:47.8	0.337036:72.2:42.1	0.313607:340.6:1.8	This study	Critical F: 3.1059	LP-AN-TRM	cb12b	pmagpy-4.3.8	cb12b
0.00	3.382212	0.439652	4.496046	g	1.177322	0.34707102:0.3130238:0.33990517:0.016711129:0.010138016:-0.008812656	6	0.013599	-1	ATRM	0.355428:17.0:-19.4	0.342676:64.4:62.6	0.301896:113.8:-18.7	This study	Critical F: 3.1059	LP-AN-TRM	cb12w	pmagpy-4.3.8	cb12w
0.00	5.332116	0.707605	7.055736	g	1.293886	0.34624773:0.29380766:0.35994464:0.02237569:-0.012284806:-0.005661716	6	0.016894	-1	ATRM	0.367886:209.5:54.1	0.347788:194.1:-34.9	0.284326:289.2:-7.3	This study	Critical F: 3.1059	LP-AN-TRM	cb12x	pmagpy-4.3.8	cb12x
